ITL427-C,Selbst ist der Mann!
ITL438-A,Onkel Dagobert und das Trockentankauto
ITL400-B,Gold allein macht nicht glücklich!!!
ICWD36-A,Vorgeschichte
ITL477-A,Der Ausflug nach Gun-City
ITL489-B,Überfall am Gemsenpass
ITL458-A,Der verschwundene Bühnenbildner
ITL485-C,Die schwarze Languste
ITL470-C,Perlendiebe unter Wasser
ITL400-AP,Das kostbare Korallenkänguruh
ICWD52-A,Vorgeschichte
WUS65-01,Besuch vom Planeten Diana
ITL704-AP,Die Revolte der Roboter
ITL649-A,Ein untrüglicher Riecher
ITL765-A,Die Gelbfuß-Indianer
ITL599-B,Die Pfeffergurkenmarmelade
ITL648-B,Der Schatz im Mammutwald
ICWD49-A,Vorgeschichte
ITL637-A,Auf den Hund gekommen
ITL653-A,Donald und der nostalgische Milliardär
ITL633-B,"Tick, Trick, Track und die Zeitmaschine"
ITL652-A,Der widerspenstigen Neffen Zähmung
ITL654-A,Donald und der Energiekomet
ITL747-B,Donald und die Amphoren aus Myköne
ICWD51-A,Vorgeschichte
ITL772-A,Villa zu vermieten!
ITL746-A,"Der ""Tag der guten Tat"""
ITL747-A,Das Vermächtnis des Scheichs
ITL787-A,Die Panzerknacker-Safari
ITL784-A,Auf den Spuren der alten Griechen
ITL729-C,Donald im Glück
ICWD55-A,Vorgeschichte
ITL802-C,Das Allheilmittel
ITL816-A,Zahlbar an Ort und Stelle
ITL667-A,Die Wette
ITL724-D,Der Schatz des Odysseus
ITL650-A,Goldrausch
ITL806-AP,"Wer wagt, gewinnt!"
ICWD56-A,Vorgeschichte
ITL659-AP,Die Rebellen von Halunkistan
ITL674-B,Der Schnappschuß
ITL547-A,Der Superchampion
ITL568-A,Stadt in Hypnose
ITL711-AP,Der Mann im Mond
ICWD53-A,Vorgeschichte
ITL795-AP,Späte Postzug-Beute
ITL720-A,Bräutigam wider Willen
ITL725-D,Das Knoten-Taschentuch
ITL718-A,Jetzt schlägt´s 13!
ITL675-C,Die Zwillings-Inseln
ITL726-D,Das fliegende Zelt
ICWD7-A,Vorgeschichte
ITL108-AP,Donald und der mysteriöse Mister Moster
ITL132-AP,Donald und die Krebse in Burgunder
ITL118-BP,Donald und die indianische Erbschaft
ITL172-AP,Donald und der große Sarani
ICWD58-A,Vorgeschichte
ITL800-AP,Das Wikingerschiff
ITL790-A,Der Seifengold-Fluß
ITL748-A,Mit Perle und Trompeten
ITL781-A,Der Zaubergarten
ITL773-AP,Ein harter Kampf
ICWD59-A,Vorgeschichte
ITL809-B,Die Tretrefliege
ITL846-C,Die störrische Steinfaust
ITL823-C,"Wie zerronnen, so gewonnen"
ITL831-A,Die durchsichtigen Berge
ITL844-A,Die Wünschelflöte
ITL819-A,Die Handschuhe des Grafen Cagliostro
ITL819-B,Goldrausch im Weltraum
ICWD61-A,Vorgeschichte
ITL811-A,Der richtige Riecher
ITL821-A,Die Natur schlägt zurück
ITL826-B,Flüchtige Blütenträume
ITL838-A,Das Geldspeicher-Monster
ITL812-A,Der Hexenblitzableiter
ITL817-A,Trickreiche Grundstücksgeschäfte
ICWD60-A,Vorgeschichte
ITL684-B,Die verräterische Augenklappe
ITL762-AP,Anglerferien mit Hindernissen
ITL710-A,Ein musikalisches Erbe
ITL670-A,Der Kompass des großen Khan
ITL675-AP,Die geheimnisvolle Ziehharmonika
ICWD57-A,Vorgeschichte
ITL706-AP,Die Verwandlung
ITL743-AP,Phantomias in Aktion
ITL827-B,Phantomias übertrifft sich selbst
ITL788-AP,Phantomias schlägt wieder zu
ICWD62-A,Vorgeschichte
ITL734-AP,Die Helios-Bande
ITL768-BP,Das geheimnisvolle Schrumpfspray
ITL736-A,Flug ins Ungewisse
ITL745-AP,Die rätselhafte Perlenkette
ICWD64-A,Vorgeschichte
